tahun;kecamatan ;desa ;tgl kejadian;jenis bencana;jumlah kejadian;korban jiwa;ruksak berat;ruksak sedang;rusak rigan
2019;Garut Kota;Paminggir;05/02/2019;Penemuan Mayat;1;1;;;
2019;Tarogong Kaler;Cimanganten;05/02/2019;Kebakaran Rumah;1;;;;
2019;Kadungora;Cikembulan;05/04/2019;Banjir;1;;;;
2019;Banjarwangi;Tanjungjaya;05/05/2019;Banjir;1;145;1;;
2019;Banjarwangi;Tanjungjaya;05/05/2019;Tanah Longsor;1;;;;
2019;Leuwigoong;Sindangsari;05/06/2019;Penemuan Mayat;1;1;;;
2019;Karangpawitan;Lebak Jaya;17/5/2019;Kebakaran Rumah;1;;1;;
2019;Mekarmukti;Cilawu;25/05/2019;Kebakaran Rumah;1;;;;1
2019;Leuwigoong;Leuwigoong;26/05/2019;Kebakaran Rumah;1;;;;
2019;Pasirwangi;padaasih;26/05/2019;Kebakaran Rumah;1;;;;
2019;Tarogong Kaler;Cimanganten;05/02/2019;Kebakaran Rumah;1;;;;
2019;Pasirwangi;Karyamekar;05/05/2019;Kebakaran Rumah;1;;4;;1
2019;Talegong;Sukamulya;05/08/2019;Kebakaran Rumah;1;;1;;
2019;Garut Kota;Regol;05/10/2019;Kebakaran Rumah;1;;;;
2019;Cilawu;Pasanggrahan Tonggoh;05/11/2019;Kebakaran Rumah;1;;;;
2019;Pameungpeuk;Medong;13/5/2019;Kebakaran Rumah;1;;;1;
2019;Cibatu;Cibunar;14/5/2019;Kebakaran Rumah;1;;;;
2019;Wanaraja;Sindang Mekar;21/5/2019;Kebakaran Rumah;1;;;1;
2019;Pangatikan;Babakanloa;23/5/2019;Kebakaran Rumah;1;;;3;
2019;Pasirwangi;Padaasih ;26/5/2015;Kebakaran Rumah;1;;2;;
2019;Samarang;Cintaasih;27/5/2019;Kebakaran Rumah;1;;;;1
2019;Leles;Ciburial;06/04/2019;Kebakaran Rumah;1;1;1;;
2019;Limbangan;Limbangan;06/06/2019;Kebakaran Rumah;1;;;;
2019;Karangpawitan ;Situ sari;06/08/2019;Kebakaran Rumah;1;;1;;
2019;Garut kota;Paminggir;06/11/2019;Kebakaran Rumah;1;;6;;4
2019;Cilawu;Ngamplang;06/11/2019;Kebakaran Rumah;1;;;;
2019;Selaawi;Cirapuhan;13/6/2019;Kebakaran Rumah;1;;;5;2
2019;Singajaya;Singajaya;13/6/201`9;Kebakaran Rumah;1;;2;;
2019;cilawu ;pasanggrahan;27/6/2019;Kebakaran Rumah;1;;;;
2019;Cigedug;pasanggrahan;27/6/2019;Kebakaran Rumah;1;1;1;;
2019;Cikajang;Mekarsari;27/6/2019;Kebakaran Rumah;1;3;3;;
2019;Karangpawitan ;Suci;28/6/2019;Kebakaran Rumah;1;;;;
2019;Selaawi;Putrajawa;06/05/2019;Kebakaran Rumah;1;;;;1
2019;Garut kota;Muara Sanding;06/01/2019;Kebakaran Rumah;1;;;;1
